KO ID	Name	Definition	Gene Count
KO:K00109	E1.1.99.2	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	3
KO:K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	34
KO:K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	1
KO:K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	1
KO:K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	1
KO:K00122	FDH	formate dehydrogenase [EC:1.2.1.2]	2
KO:K00123	fdoG, fdfH	formate dehydrogenase major subunit [EC:1.2.1.2]	9
KO:K00124	fdoH	formate dehydrogenase iron-sulfur subunit	1
KO:K00128	E1.2.1.3	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	14
KO:K00129	E1.2.1.5	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	4
KO:K00130	betB, gbsA	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	1
KO:K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	1
KO:K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	2
KO:K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	43
KO:K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	28
KO:K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3
KO:K00139	ALDH5A1	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	1
KO:K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	27
KO:K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	34
KO:K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	1
KO:K00156	poxB	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	6
KO:K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	5
KO:K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	3
KO:K00166	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4]	3
KO:K00167	E1.2.4.4B, bkdA2	2-oxoisovalerate dehydrogenase E1 component, beta subunit [EC:1.2.4.4]	5
KO:K00169	porA	pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]	1
KO:K00170	porB	pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]	1
KO:K00174	korA	2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]	38
KO:K00175	korB	2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]	40
KO:K00176	korD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	6
KO:K00177	korG	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	13
KO:K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	26
KO:K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	15
KO:K00184	K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	2
KO:K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	1
KO:K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	1
KO:K00198	cooS, acsA	carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.99.2 1.2.7.4]	2
KO:K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	5
KO:K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	14
KO:K00210	E1.3.1.12	prephenate dehydrogenase [EC:1.3.1.12]	1
KO:K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	36
KO:K00219	fadH	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	9
KO:K00226	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	47
KO:K00230	hemG	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	1
KO:K00231	PPOX, hemY	oxygen-dependent protoporphyrinogen oxidase [EC:1.3.3.4]	1
KO:K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	2
KO:K00239	sdhA	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	29
KO:K00240	sdhB	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	10
KO:K00241	sdhC	succinate dehydrogenase cytochrome b556 subunit	9
KO:K00243	K00243	hypothetical protein	16
KO:K00244	frdA	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	13
KO:K00248	ACADS, bcd	butyryl-CoA dehydrogenase [EC:1.3.8.1]	16
KO:K00249	ACADM, acd	acyl-CoA dehydrogenase [EC:1.3.8.7]	2
KO:K00253	IVD, ivd	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	1
KO:K00254	DHODH, pyrD	dihydroorotate dehydrogenase [EC:1.3.5.2]	3
KO:K00257	E1.3.99.-		26
KO:K00259	ald	alanine dehydrogenase [EC:1.4.1.1]	16
KO:K00260	gudB, rocG	glutamate dehydrogenase [EC:1.4.1.2]	2
KO:K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	21
KO:K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	56
KO:K00264	GLT1	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	47
KO:K00265	gltB	glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	46
KO:K00266	gltD	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	88
KO:K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	5
KO:K00278	nadB	L-aspartate oxidase [EC:1.4.3.16]	23
KO:K00281	GLDC, gcvP	glycine dehydrogenase [EC:1.4.4.2]	40
KO:K00282	gcvPA	glycine dehydrogenase subunit 1 [EC:1.4.4.2]	5
KO:K00283	gcvPB	glycine dehydrogenase subunit 2 [EC:1.4.4.2]	4
KO:K00284	E1.4.7.1	glutamate synthase (ferredoxin) [EC:1.4.7.1]	43
KO:K00286	E1.5.1.2, proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	29
KO:K00287	folA	dihydrofolate reductase [EC:1.5.1.3]	20
KO:K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]	12
KO:K00289	E1.5.1.6, FTHFD	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]	1
KO:K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	28
KO:K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	3
KO:K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	30
KO:K00302	soxA	sarcosine oxidase, subunit alpha [EC:1.5.3.1]	2
KO:K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	1
KO:K00315	DMGDH	dimethylglycine dehydrogenase [EC:1.5.8.4]	2
KO:K00318	PRODH	proline dehydrogenase [EC:1.5.-.-]	2
KO:K00327	E1.6.2.4	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]	1
KO:K00330	nuoA	NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	5
KO:K00331	nuoB	NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	12
KO:K00332	nuoC	NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	1
KO:K00333	nuoD	NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	4
KO:K00334	nuoE	NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	16
KO:K00335	nuoF	NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	25
KO:K00336	nuoG	NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	31
KO:K00337	nuoH	NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	15
KO:K00338	nuoI	NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	10
KO:K00339	nuoJ	NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	11
KO:K00340	nuoK	NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	5
KO:K00341	nuoL	NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	19
KO:K00342	nuoM	NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	18
KO:K00343	nuoN	NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	15
KO:K00344	qor, CRYZ	NADPH2:quinone reductase [EC:1.6.5.5]	1
KO:K00346	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.-]	11
KO:K00347	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.-]	9
KO:K00348	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.-]	11
KO:K00349	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.-]	9
KO:K00350	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.-]	11
KO:K00351	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.-]	13
KO:K00358	E1.6.99.-		9
KO:K00359	E1.6.-.-	NADH oxidase [EC:1.6.-.-]	10
KO:K00362	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	1
KO:K00364	E1.7.1.7, guaC	GMP reductase [EC:1.7.1.7]	2
KO:K00366	nirA	ferredoxin-nitrite reductase [EC:1.7.7.1]	2
KO:K00375	K00375	GntR family transcriptional regulator / MocR family aminotransferase	13
KO:K00376	nosZ	nitrous-oxide reductase [EC:1.7.2.4]	1
KO:K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	5
KO:K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	1
KO:K00382	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	33
KO:K00384	E1.8.1.9, trxB	thioredoxin reductase (NADPH) [EC:1.8.1.9]	40
KO:K00385	asrC	anaerobic sulfite reductase subunit C	2
KO:K00390	cysH	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8]	3
KO:K00394	aprA	adenylylsulfate reductase, subunit A [EC:1.8.99.2]	3
KO:K00400	K00400	methyl coenzyme M reductase system, component A2	1
KO:K00425	cydA	cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]	15
KO:K00426	cydB	cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-]	15
KO:K00428	E1.11.1.5	cytochrome c peroxidase [EC:1.11.1.5]	6
KO:K00432	E1.11.1.9	glutathione peroxidase [EC:1.11.1.9]	5
KO:K00459	ncd2, npd	nitronate monooxygenase [EC:1.13.12.16]	7
KO:K00462	bphC	biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]	1
KO:K00480	E1.14.13.1	salicylate hydroxylase [EC:1.14.13.1]	1
KO:K00518	sodN	nickel superoxide dismutase [EC:1.15.1.1]	1
KO:K00520	merA	mercuric reductase [EC:1.16.1.1]	2
KO:K00525	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	37
KO:K00526	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	3
KO:K00527	nrdD	ribonucleoside-triphosphate reductase [EC:1.17.4.2]	93
KO:K00528	E1.18.1.2, fpr	ferredoxin--NADP+ reductase [EC:1.18.1.2]	27
KO:K00532	E1.12.7.2	ferredoxin hydrogenase [EC:1.12.7.2]	3
KO:K00533	E1.12.7.2L	ferredoxin hydrogenase large subunit [EC:1.12.7.2]	1
KO:K00537	ARSC1, arsC	arsenate reductase [EC:1.20.4.1]	8
KO:K00538	E1.97.1.4	formate acetyltransferase activating enzyme [EC:1.97.1.4]	1
KO:K00540	E1.-.-.-		74
KO:K00547	mmuM	homocysteine S-methyltransferase [EC:2.1.1.10]	5
KO:K00548	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	80
KO:K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	10
KO:K00551	PEMT	phosphatidylethanolamine N-methyltransferase [EC:2.1.1.17]	1
KO:K00554	trmD	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	30
KO:K00556	trmH	tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	4
KO:K00557	trmA	tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]	1
KO:K00558	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	95
KO:K00560	thyA, TYMS	thymidylate synthase [EC:2.1.1.45]	29
KO:K00561	ermC, ermA	23S rRNA (adenine2085-N6)-dimethyltransferase [EC:2.1.1.184]	2
KO:K00563	rlmA1	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	7
KO:K00564	rsmC	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	1
KO:K00566	mnmA, trmU, TRMU	tRNA-specific 2-thiouridylase [EC:2.8.1.-]	61
KO:K00567	E2.1.1.63, MGMT, ogt	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	27
KO:K00568	ubiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	1
KO:K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	45
KO:K00574	E2.1.1.79, cfa	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	1
KO:K00575	cheR	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	3
KO:K00588	E2.1.1.104	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	8
KO:K00590	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	5
KO:K00595	cobL	precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]	20
KO:K00599	E2.1.1.-		104
KO:K00600	glyA, SHMT	glycine hydroxymethyltransferase [EC:2.1.2.1]	40
KO:K00601	E2.1.2.2	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]	9
KO:K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	52
KO:K00603	fctD	glutamate formiminotransferase [EC:2.1.2.5]	12
KO:K00604	MTFMT, fmt	methionyl-tRNA formyltransferase [EC:2.1.2.9]	31
KO:K00605	gcvT, AMT	aminomethyltransferase [EC:2.1.2.10]	18
KO:K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	14
KO:K00609	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	43
KO:K00610	pyrI	aspartate carbamoyltransferase regulatory subunit	12
KO:K00611	OTC, argF, argI	ornithine carbamoyltransferase [EC:2.1.3.3]	26
KO:K00612	E2.1.3.-	carbamoyltransferase [EC:2.1.3.-]	2
KO:K00614	E2.1.-.-		1
KO:K00615	E2.2.1.1, tktA, tktB	transketolase [EC:2.2.1.1]	84
KO:K00616	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	16
KO:K00619	argA	amino-acid N-acetyltransferase [EC:2.3.1.1]	1
KO:K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	21
KO:K00621	E2.3.1.4, GNA1	glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]	1
KO:K00622	nat	arylamine N-acetyltransferase [EC:2.3.1.5]	1
KO:K00625	E2.3.1.8, pta	phosphate acetyltransferase [EC:2.3.1.8]	33
KO:K00626	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	11
KO:K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	4
KO:K00632	E2.3.1.16, fadA	acetyl-CoA acyltransferase [EC:2.3.1.16]	1
KO:K00633	lacA	galactoside O-acetyltransferase [EC:2.3.1.18]	30
KO:K00634	ptb	phosphate butyryltransferase [EC:2.3.1.19]	12
KO:K00638	E2.3.1.28, cat	chloramphenicol O-acetyltransferase [EC:2.3.1.28]	23
KO:K00639	kbl, GCAT	glycine C-acetyltransferase [EC:2.3.1.29]	33
KO:K00640	cysE	serine O-acetyltransferase [EC:2.3.1.30]	47
KO:K00641	metX	homoserine O-acetyltransferase [EC:2.3.1.31]	2
KO:K00643	E2.3.1.37, ALAS	5-aminolevulinate synthase [EC:2.3.1.37]	1
KO:K00645	fabD	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	29
KO:K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	16
KO:K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	47
KO:K00651	metA	homoserine O-succinyltransferase [EC:2.3.1.46]	26
KO:K00652	bioF	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	18
KO:K00655	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	36
KO:K00656	E2.3.1.54, pflD	formate C-acetyltransferase [EC:2.3.1.54]	66
KO:K00657	E2.3.1.57, speG	diamine N-acetyltransferase [EC:2.3.1.57]	11
KO:K00658	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	8
KO:K00661	maa	maltose O-acetyltransferase [EC:2.3.1.79]	44
KO:K00662	aacC	aminoglycoside N3'-acetyltransferase [EC:2.3.1.81]	4
KO:K00663	aacA	aminoglycoside N6'-acetyltransferase [EC:2.3.1.82]	1
KO:K00666	K00666	fatty-acyl-CoA synthase [EC:6.2.1.-]	20
KO:K00674	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117]	6
KO:K00675	nhoA	N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	1
KO:K00676	E2.3.1.128	ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128]	13
KO:K00677	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	19
KO:K00680	E2.3.1.-		52
KO:K00681	ggt	gamma-glutamyltranspeptidase [EC:2.3.2.2]	1
KO:K00683	E2.3.2.5	glutaminyl-peptide cyclotransferase [EC:2.3.2.5]	3
KO:K00684	aat	leucyl/phenylalanyl-tRNA--protein transferase [EC:2.3.2.6]	5
KO:K00688	E2.4.1.1, glgP, PYG	starch phosphorylase [EC:2.4.1.1]	86
KO:K00690	E2.4.1.7	sucrose phosphorylase [EC:2.4.1.7]	4
KO:K00691	E2.4.1.8, mapA	maltose phosphorylase [EC:2.4.1.8]	6
KO:K00693	GYS	glycogen(starch) synthase [EC:2.4.1.11]	19
KO:K00697	otsA	trehalose 6-phosphate synthase [EC:2.4.1.15]	6
KO:K00700	glgB	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	60
KO:K00702	E2.4.1.20	cellobiose phosphorylase [EC:2.4.1.20]	3
KO:K00703	E2.4.1.21, glgA	starch synthase [EC:2.4.1.21]	32
KO:K00705	malQ	4-alpha-glucanotransferase [EC:2.4.1.25]	71
KO:K00709	ABO	histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]	1
KO:K00712	tagE	poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	1
KO:K00713	waaD	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]	1
KO:K00721	DPM1	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	29
KO:K00722	GBGT1	globoside alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.88]	1
KO:K00743	GGTA1	N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]	3
KO:K00748	lpxB	lipid-A-disaccharide synthase [EC:2.4.1.182]	21
KO:K00752	E2.4.1.212, hasA	hyaluronan synthase [EC:2.4.1.212]	1
KO:K00754	E2.4.1.-		45
KO:K00756	E2.4.2.2, pdp	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	15
KO:K00757	udp, UPP	uridine phosphorylase [EC:2.4.2.3]	20
KO:K00758	deoA, TYMP	thymidine phosphorylase [EC:2.4.2.4]	10
KO:K00759	APRT, apt	adenine phosphoribosyltransferase [EC:2.4.2.7]	22
KO:K00760	hprT, hpt, HPRT1	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	28
